,,,Bandar Kuota,,,,,,
,,,Saldo Stock,,,,,,
,,,,,,,,,,,,,
,Group,,,,,,,,,,,,,
,VOUCHER,,,,,,,,,,,,,
,Merk,Model,,,,,,,,,,
,VOUCER AXIS,< kosong >,,,,,,,,,,
Kode Item,Nama Item,ALFA 1 (C),ALFA 2 (C),ALFA 3 (C),ALFA 4 (C),ALFA 5 (C),ALFA 6 (C),ALFA 7 ,ASBER 1 (C),
001341,V. AXIS AIGO 22 GB 28HR/16 gb 28hr,3 PCS,3 PCS,3 PCS,3 PCS,4 PCS,2 PCS,2 PCS,2 PCS,
001342,V. AXIS AIGO 15 GB 1HR,5 PCS,5 PCS,6 PCS,2 PCS,7 PCS,6 PCS,5 PCS,6 PCS,
001347,V. AXIS AIGO 9 GB 28HR/7.5 gb 28hr,8 PCS,4 PCS,7 PCS,9 PCS,7 PCS,5 PCS,8 PCS,11 PCS,
001348,V. AXIS AIGO 14 GB 28HR/10 gb 28hr,2 PCS,1 PCS,1 PCS,0 PCS,1 PCS,2 PCS,3 PCS,2 PCS,
TOTAL,18.00,13.00,17.00,14.00,19.00,15.00,18.00,21.00,
Kode Item,Nama Item,ASBER 2 (C),BK CIJAMBE ,BK JH1 ,BK JH2 (C),BK5 CIGER ,BK6 ,BK7 ,BK8 BAKSAR ,
001341,V. AXIS AIGO 22 GB 28HR/16 gb 28hr,1 PCS,2 PCS,2 PCS,2 PCS,2 PCS,2 PCS,3 PCS,3 PCS,
001342,V. AXIS AIGO 15 GB 1HR,6 PCS,4 PCS,6 PCS,6 PCS,4 PCS,2 PCS,4 PCS,3 PCS,
001347,V. AXIS AIGO 9 GB 28HR/7.5 gb 28hr,6 PCS,9 PCS,5 PCS,5 PCS,6 PCS,6 PCS,5 PCS,8 PCS,
001348,V. AXIS AIGO 14 GB 28HR/10 gb 28hr,2 PCS,3 PCS,0 PCS,3 PCS,3 PCS,3 PCS,1 PCS,1 PCS,
TOTAL,15.00,18.00,13.00,16.00,15.00,13.00,13.00,15.00,
Kode Item,Nama Item,BK9 BAKSAR ,BKC ,BUNISARI ,CICUKANG ,CIHAURKUK,CIKADUT 2,CIPADUNG 2 ,CIPAGALO ,
001341,V. AXIS AIGO 22 GB 28HR/16 gb 28hr,2 PCS,2 PCS,3 PCS,2 PCS,2 PCS,2 PCS,3 PCS,3 PCS,
001342,V. AXIS AIGO 15 GB 1HR,2 PCS,4 PCS,5 PCS,3 PCS,1 PCS,2 PCS,2 PCS,2 PCS,
001347,V. AXIS AIGO 9 GB 28HR/7.5 gb 28hr,6 PCS,11 PCS,8 PCS,7 PCS,8 PCS,5 PCS,9 PCS,9 PCS,
001348,V. AXIS AIGO 14 GB 28HR/10 gb 28hr,0 PCS,2 PCS,2 PCS,2 PCS,0 PCS,2 PCS,0 PCS,2 PCS,
TOTAL,10.00,19.00,18.00,14.00,11.00,11.00,14.00,16.00,
,,,,,,Bee Accounting,,,,,,,,,
,13/08/2026,,,,,,,,,,
Kode Item,Nama Item,CIPOREAT,CISA (C),CK (C),CL 1 ,CL 2 ,CL 3 ,CL 4 ,DM (C),
001341,V. AXIS AIGO 22 GB 28HR/16 gb 28hr,2 PCS,3 PCS,3 PCS,2 PCS,2 PCS,2 PCS,2 PCS,2 PCS,
001342,V. AXIS AIGO 15 GB 1HR,1 PCS,5 PCS,6 PCS,2 PCS,4 PCS,2 PCS,2 PCS,1 PCS,
001347,V. AXIS AIGO 9 GB 28HR/7.5 gb 28hr,8 PCS,7 PCS,4 PCS,8 PCS,7 PCS,5 PCS,8 PCS,7 PCS,
001348,V. AXIS AIGO 14 GB 28HR/10 gb 28hr,1 PCS,2 PCS,1 PCS,1 PCS,2 PCS,2 PCS,2 PCS,1 PCS,
TOTAL,12.00,17.00,14.00,13.00,15.00,11.00,14.00,11.00,
Kode Item,Nama Item,Gudang,PC 3 (A),PC 4 (C),PC 5 (C),PD 1 (C),PD 2 (C),PD 3 (C),RK (C),
001341,V. AXIS AIGO 22 GB 28HR/16 gb 28hr,0 PCS,3 PCS,2 PCS,3 PCS,2 PCS,2 PCS,1 PCS,2 PCS,
001342,V. AXIS AIGO 15 GB 1HR,0 PCS,3 PCS,4 PCS,7 PCS,6 PCS,3 PCS,4 PCS,3 PCS,
001347,V. AXIS AIGO 9 GB 28HR/7.5 gb 28hr,0 PCS,9 PCS,7 PCS,3 PCS,7 PCS,4 PCS,4 PCS,11 PCS,
001348,V. AXIS AIGO 14 GB 28HR/10 gb 28hr,0 PCS,2 PCS,1 PCS,0 PCS,0 PCS,0 PCS,2 PCS,1 PCS,
TOTAL,0.00,17.00,14.00,13.00,15.00,9.00,11.00,17.00,
Kode Item,Nama Item,SA (C),SS (C),TOTAL,,,,,,,
001341,V. AXIS AIGO 22 GB 28HR/16 gb 28hr,2 PCS,0 PCS,93 PCS,,,,,,,
001342,V. AXIS AIGO 15 GB 1HR,6 PCS,3 PCS,160 PCS,,,,,,,
001347,V. AXIS AIGO 9 GB 28HR/7.5 gb 28hr,3 PCS,6 PCS,280 PCS,,,,,,,
001348,V. AXIS AIGO 14 GB 28HR/10 gb 28hr,2 PCS,0 PCS,58 PCS,,,,,,,
TOTAL,13.00,9.00,591.00,,,,,,,
,Merk,Model,,,,,,,,,
,VOUCER AXIS HARIAN,< kosong >,,,,,,,,,
Kode Item,Nama Item,ALFA 1 (C),ALFA 2 (C),ALFA 3 (C),ALFA 4 (C),ALFA 5 (C),ALFA 6 (C),ALFA 7 ,ASBER 1 (C),
001338,V. AXIS AIGO 5 GB 1HR/3gb 1hr,30 PCS,38 PCS,28 PCS,34 PCS,38 PCS,41 PCS,30 PCS,42 PCS,
001339,V. AXIS AIGO 5 GB 2HR,30 PCS,27 PCS,31 PCS,30 PCS,45 PCS,36 PCS,29 PCS,30 PCS,
001340,V. AXIS AIGO 3 GB 3HR/2 gb 3h,12 PCS,41 PCS,27 PCS,31 PCS,30 PCS,22 PCS,17 PCS,25 PCS,
001343,V. AXIS AIGO 5 GB 3HR/4.5 gb 3hr,23 PCS,27 PCS,17 PCS,27 PCS,33 PCS,24 PCS,13 PCS,29 PCS,
001345,V. AXIS AIGO 5 GB 5HR/4.5gb 5hr,5 PCS,8 PCS,10 PCS,8 PCS,7 PCS,7 PCS,4 PCS,11 PCS,
001346,V. AXIS AIGO 8 GB 14HR/6 gb 14hr,4 PCS,6 PCS,6 PCS,3 PCS,4 PCS,5 PCS,3 PCS,6 PCS,
001349,V. AXIS AIGO MINI( 4 GB 5H )/3.5gb 5h,42 PCS,43 PCS,35 PCS,54 PCS,58 PCS,36 PCS,15 PCS,43 PCS,
002253,V. AXIS AIGO 10 GB 7HR/7 gb 7hr,4 PCS,2 PCS,3 PCS,6 PCS,6 PCS,5 PCS,4 PCS,3 PCS,
,,,,,Bee Accounting,,,,,,,,
,13/08/2026,,,,,,,,
Kode Item,Nama Item,ALFA 1 (C),ALFA 2 (C),ALFA 3 (C),ALFA 4 (C),ALFA 5 (C),ALFA 6 (C),ALFA 7 ,ASBER 1 (C),
TOTAL,150.00,192.00,157.00,193.00,221.00,176.00,115.00,189.00,
Kode Item,Nama Item,ASBER 2 (C),BK CIJAMBE ,BK JH1 ,BK JH2 (C),BK5 CIGER ,BK6 ,BK7 ,BK8 BAKSAR ,
001338,V. AXIS AIGO 5 GB 1HR/3gb 1hr,29 PCS,32 PCS,40 PCS,37 PCS,23 PCS,16 PCS,32 PCS,35 PCS,
001339,V. AXIS AIGO 5 GB 2HR,30 PCS,19 PCS,31 PCS,32 PCS,28 PCS,35 PCS,43 PCS,24 PCS,
001340,V. AXIS AIGO 3 GB 3HR/2 gb 3h,26 PCS,26 PCS,13 PCS,30 PCS,22 PCS,18 PCS,28 PCS,18 PCS,
001343,V. AXIS AIGO 5 GB 3HR/4.5 gb 3hr,28 PCS,17 PCS,27 PCS,32 PCS,19 PCS,16 PCS,21 PCS,22 PCS,
001345,V. AXIS AIGO 5 GB 5HR/4.5gb 5hr,9 PCS,6 PCS,9 PCS,10 PCS,5 PCS,7 PCS,8 PCS,6 PCS,
001346,V. AXIS AIGO 8 GB 14HR/6 gb 14hr,4 PCS,2 PCS,4 PCS,3 PCS,4 PCS,3 PCS,5 PCS,1 PCS,
001349,V. AXIS AIGO MINI( 4 GB 5H )/3.5gb 5h,46 PCS,58 PCS,38 PCS,68 PCS,33 PCS,58 PCS,48 PCS,42 PCS,
002253,V. AXIS AIGO 10 GB 7HR/7 gb 7hr,6 PCS,2 PCS,3 PCS,3 PCS,4 PCS,0 PCS,2 PCS,3 PCS,
TOTAL,178.00,162.00,165.00,215.00,138.00,153.00,187.00,151.00,
Kode Item,Nama Item,BK9 BAKSAR ,BKC ,BUNISARI ,CICUKANG ,CIHAURKUK,CIKADUT 2,CIPADUNG 2 ,CIPAGALO ,
001338,V. AXIS AIGO 5 GB 1HR/3gb 1hr,29 PCS,30 PCS,49 PCS,25 PCS,19 PCS,15 PCS,31 PCS,27 PCS,
001339,V. AXIS AIGO 5 GB 2HR,13 PCS,37 PCS,30 PCS,20 PCS,23 PCS,7 PCS,23 PCS,23 PCS,
001340,V. AXIS AIGO 3 GB 3HR/2 gb 3h,17 PCS,36 PCS,33 PCS,23 PCS,12 PCS,19 PCS,23 PCS,16 PCS,
001343,V. AXIS AIGO 5 GB 3HR/4.5 gb 3hr,20 PCS,24 PCS,23 PCS,20 PCS,8 PCS,13 PCS,19 PCS,16 PCS,
001345,V. AXIS AIGO 5 GB 5HR/4.5gb 5hr,6 PCS,9 PCS,9 PCS,9 PCS,5 PCS,4 PCS,6 PCS,7 PCS,
001346,V. AXIS AIGO 8 GB 14HR/6 gb 14hr,1 PCS,3 PCS,5 PCS,3 PCS,2 PCS,2 PCS,3 PCS,2 PCS,
001349,V. AXIS AIGO MINI( 4 GB 5H )/3.5gb 5h,40 PCS,71 PCS,63 PCS,34 PCS,28 PCS,20 PCS,40 PCS,27 PCS,
002253,V. AXIS AIGO 10 GB 7HR/7 gb 7hr,2 PCS,3 PCS,3 PCS,3 PCS,1 PCS,0 PCS,1 PCS,4 PCS,
TOTAL,128.00,213.00,215.00,137.00,98.00,80.00,146.00,122.00,
Kode Item,Nama Item,CIPOREAT,CISA (C),CK (C),CL 1 ,CL 2 ,CL 3 ,CL 4 ,DM (C),
001338,V. AXIS AIGO 5 GB 1HR/3gb 1hr,18 PCS,44 PCS,25 PCS,21 PCS,23 PCS,16 PCS,25 PCS,79 PCS,
001339,V. AXIS AIGO 5 GB 2HR,20 PCS,40 PCS,31 PCS,26 PCS,17 PCS,20 PCS,26 PCS,32 PCS,
001340,V. AXIS AIGO 3 GB 3HR/2 gb 3h,17 PCS,4 PCS,20 PCS,15 PCS,19 PCS,21 PCS,18 PCS,34 PCS,
001343,V. AXIS AIGO 5 GB 3HR/4.5 gb 3hr,15 PCS,18 PCS,12 PCS,18 PCS,21 PCS,18 PCS,16 PCS,33 PCS,
001345,V. AXIS AIGO 5 GB 5HR/4.5gb 5hr,5 PCS,9 PCS,4 PCS,6 PCS,5 PCS,16 PCS,5 PCS,9 PCS,
001346,V. AXIS AIGO 8 GB 14HR/6 gb 14hr,3 PCS,3 PCS,4 PCS,4 PCS,5 PCS,4 PCS,5 PCS,3 PCS,
001349,V. AXIS AIGO MINI( 4 GB 5H )/3.5gb 5h,21 PCS,65 PCS,35 PCS,25 PCS,27 PCS,20 PCS,29 PCS,76 PCS,
002253,V. AXIS AIGO 10 GB 7HR/7 gb 7hr,1 PCS,5 PCS,3 PCS,4 PCS,4 PCS,2 PCS,3 PCS,3 PCS,
TOTAL,100.00,188.00,134.00,119.00,121.00,117.00,127.00,269.00,
,,,,Bee Accounting,,,,,,,,
,13/08/2026,,,,,,,
Kode Item,Nama Item,Gudang,PC 3 (A),PC 4 (C),PC 5 (C),PD 1 (C),PD 2 (C),PD 3 (C),RK (C),
001338,V. AXIS AIGO 5 GB 1HR/3gb 1hr,22 PCS,31 PCS,23 PCS,28 PCS,33 PCS,39 PCS,25 PCS,33 PCS,
001339,V. AXIS AIGO 5 GB 2HR,0 PCS,16 PCS,30 PCS,24 PCS,33 PCS,37 PCS,21 PCS,32 PCS,
001340,V. AXIS AIGO 3 GB 3HR/2 gb 3h,0 PCS,19 PCS,21 PCS,25 PCS,20 PCS,34 PCS,24 PCS,25 PCS,
001343,V. AXIS AIGO 5 GB 3HR/4.5 gb 3hr,0 PCS,20 PCS,19 PCS,13 PCS,17 PCS,25 PCS,7 PCS,25 PCS,
001345,V. AXIS AIGO 5 GB 5HR/4.5gb 5hr,0 PCS,5 PCS,8 PCS,10 PCS,5 PCS,10 PCS,6 PCS,12 PCS,
001346,V. AXIS AIGO 8 GB 14HR/6 gb 14hr,0 PCS,3 PCS,3 PCS,3 PCS,5 PCS,6 PCS,3 PCS,7 PCS,
001349,V. AXIS AIGO MINI( 4 GB 5H )/3.5gb 5h,0 PCS,67 PCS,50 PCS,63 PCS,37 PCS,71 PCS,48 PCS,15 PCS,
002253,V. AXIS AIGO 10 GB 7HR/7 gb 7hr,0 PCS,0 PCS,5 PCS,4 PCS,5 PCS,5 PCS,4 PCS,8 PCS,
TOTAL,22.00,161.00,159.00,170.00,155.00,227.00,138.00,157.00,
Kode Item,Nama Item,SA (C),SS (C),TOTAL,,,,,,,
001338,V. AXIS AIGO 5 GB 1HR/3gb 1hr,37 PCS,29 PCS,1301 PCS,,,,,,,
001339,V. AXIS AIGO 5 GB 2HR,21 PCS,20 PCS,1122 PCS,,,,,,,
001340,V. AXIS AIGO 3 GB 3HR/2 gb 3h,15 PCS,22 PCS,918 PCS,,,,,,,
001343,V. AXIS AIGO 5 GB 3HR/4.5 gb 3hr,23 PCS,19 PCS,837 PCS,,,,,,,
001345,V. AXIS AIGO 5 GB 5HR/4.5gb 5hr,14 PCS,9 PCS,313 PCS,,,,,,,
001346,V. AXIS AIGO 8 GB 14HR/6 gb 14hr,0 PCS,2 PCS,147 PCS,,,,,,,
001349,V. AXIS AIGO MINI( 4 GB 5H )/3.5gb 5h,41 PCS,40 PCS,1770 PCS,,,,,,,
002253,V. AXIS AIGO 10 GB 7HR/7 gb 7hr,5 PCS,5 PCS,139 PCS,,,,,,,
TOTAL,156.00,146.00,"6,547.00",,,,,,,
,Merk,Model,,,,,,,,,
,VOUCER BYU HARIAN,< kosong >,,,,,,,,,
Kode Item,Nama Item,ALFA 1 (C),ALFA 2 (C),ALFA 3 (C),ALFA 4 (C),ALFA 5 (C),ALFA 6 (C),ALFA 7 ,ASBER 1 (C),
001352,V. BYU 7.5 GB 7HR,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001380,V. BYU 8 GB 7HR (discontinue),2 PCS,0 PCS,0 PCS,2 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001390,V. BYU 9 GB 14HR,6 PCS,4 PCS,1 PCS,8 PCS,5 PCS,5 PCS,4 PCS,6 PCS,
001392,V. BYU 7 GB 28HR,13 PCS,12 PCS,10 PCS,13 PCS,14 PCS,10 PCS,8 PCS,8 PCS,
002436,V. BYU 6 GB 7HR,15 PCS,14 PCS,13 PCS,13 PCS,18 PCS,13 PCS,10 PCS,12 PCS,
002449,V. BYU 3 GB 1HR (discontinue),0 PCS,5 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
002600,V. BYU 7.5 GB 5HR (discontinue),4 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
TOTAL,40.00,35.00,24.00,36.00,37.00,28.00,22.00,26.00,
Kode Item,Nama Item,ASBER 2 (C),BK CIJAMBE ,BK JH1 ,BK JH2 (C),BK5 CIGER ,BK6 ,BK7 ,BK8 BAKSAR ,
001352,V. BYU 7.5 GB 7HR,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,1 PCS,0 PCS,0 PCS,
,,,,,Bee Accounting,,,,,,,,
,13/08/2026,,,,,,,,
Kode Item,Nama Item,ASBER 2 (C),BK CIJAMBE ,BK JH1 ,BK JH2 (C),BK5 CIGER ,BK6 ,BK7 ,BK8 BAKSAR ,
001380,V. BYU 8 GB 7HR (discontinue),0 PCS,2 PCS,0 PCS,0 PCS,0 PCS,2 PCS,0 PCS,0 PCS,
001390,V. BYU 9 GB 14HR,3 PCS,4 PCS,7 PCS,7 PCS,6 PCS,6 PCS,6 PCS,6 PCS,
001392,V. BYU 7 GB 28HR,10 PCS,7 PCS,12 PCS,9 PCS,6 PCS,6 PCS,5 PCS,6 PCS,
002436,V. BYU 6 GB 7HR,12 PCS,9 PCS,18 PCS,12 PCS,9 PCS,9 PCS,11 PCS,8 PCS,
002449,V. BYU 3 GB 1HR (discontinue),4 PCS,0 PCS,3 PCS,1 PCS,0 PCS,0 PCS,2 PCS,3 PCS,
002600,V. BYU 7.5 GB 5HR (discontinue),0 PCS,1 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
TOTAL,29.00,23.00,40.00,29.00,21.00,24.00,24.00,23.00,
Kode Item,Nama Item,BK9 BAKSAR ,BKC ,BUNISARI ,CICUKANG ,CIHAURKUK,CIKADUT 2,CIPADUNG 2 ,CIPAGALO ,
